TMP_AR,TMP_EN,CENTER,Q233,Q244,Q256,Q326,GENDER,ACACDEMIC_LEVEL,NATIONALITY,SECTOR,Dim1.1,Dim1.2,Dim2.1,Dim2.2,Dim2.3,Dim3.1,Dim3.2,Dim3.3,Dim3.4,Dim3.5,Dim3.6,Dim3.7,Dim3.8,Dim4.1,Dim4.2,Dim4.3,Dim4.4,Dim4.5,Dim4.6,Dim4.7,Dim4.8,Dim4.9,Dim4.10,Dim4.11,Dim4.12,Dim5.1,Dim5.2,Dim5.3,Dim6.1,Dim6.2,NPS,Unnamed: 42,Most_Unsat,Most_Sat,SERVICE
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,2,7,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,9.0,,انتظار المرحلة الأخيرة القاضي ياخد وقت أطول من المعاملة كلها,كل شي مريح كوجود جميع المرافق والموظفين ممتازين,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,7,3,1,4,4,5,4,5,3,5,4,5,5,5,4,5,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,8.0,,لأول مرة الإجراءات يتم تغيرها في تجديد الإقامة الانسانيه حيث كانت في البداية تتم من خلال رسالة من مكان العمل لكن الآن بدون رساله ولابد من النظر والبت في المعاملة من قبل القاضي,التعاون من قبل الموظفين والرحمة من قبل القضاة,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,2,8,1,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,10.0,,لايوجد,الهدوء والسلسة والترحاب,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,التعاون والشاشة في التعامل,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,8,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,كل شي ممتاز,المعاملة الجيدة,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,7,3,1,3,4,3,3,4,3,3,3,3,3,5,3,5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,7.0,,الانتظار بعض الوقت,اللطف في التعاملات,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,2,8,1,1,5,5,5,3,5,3,3,3,3,3,3,2,4,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,,الانتظار الطويل,كل شي تمام والمعاملة جيدة,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,3,1,5,5,5,5,5,4,4,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,,لايوجد,الخدمة متميزة,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,الانتظار لبعض الوقت لرؤية القضاة,الاهتمام بالعملاء ومحاولة انجاز طلباتهم,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,7,1,1,3,4,1,5,5,2,5,3,5,5,5,1,5,5.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,6.0,,عدم وجود مرونة في التعامل من حيث حيثيات القضايا المتعلقة بالحضانة والتاخير لانتظار القضاة وعدم وجود إرشادات علي الموقع الإلكتروني بمواعيد العمل خاصة اني قادمة من إمارة أخرى وايضا عدم الاهتمام بالشكاوي وعدم فعالينها وبعض الطلبات تكاد تكون تعجيزية وغير معلومة علي الموقع الإلكتروني,اليوم ولا اي شي,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,7,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لاشيء,كل شي ممتاز وسريع جدا ما اخذت دقائق لانهاء الخدمة,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,8,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,,لا شي,السرعة,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,3,3,5,3,4,5,5,3,5,5,5,5,5,4,5,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,9.0,,لابد أن يكون هناك تحديث  للمعاملات خصوصا لو مع الموظف المختص المسؤول عن المعاملة غائب فاضطر للذهاب الي موظف أخرى يعيد المعاملة من الاول فبذلك يتم تعطيل وتأخير المعاملة,الاهتمام برضا العميل,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,5.0,1,7,1,1,5,5,5,3,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لاشيء,التعامل الجيد والترحاب وإنجاز المعاملات في الوقت المحدد,Q326_5
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,7,1,1,3,3,4,3,5,3,3,3,3,3,3,3,5,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,5.0,,الرسوم والانتقالات بين الكاونترات وعدم الدقه في توفير المعلومات,لا شي,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,3,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لا شي,الترحاب والبشاشة,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,7,3,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لا شيء,المكان منظم والاستفسار يتم بطريقة سلسة ومريحة,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,5.0,1,7,3,3,5,5,2,2,5,3,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,8.0,,عدم توفر المزيد من مواقف السيارات ومواعيد العمل يفضل وجود موظف من كل قسم في الفترة المسائية,الاستقبال والمعاملة الجيدة,Q326_5
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,1,7,3,1,5,4,5,5,5,5,5,5,5,5,5,4,4,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,,يجب التحديث علي المعلومات من خلال المكالمات الهاتفية او عبر الموقع او من خلال رسائل نصية بشآن الاختام والأشياء الناقصة وخاصة في عقود الزواج,الدقة في المعاملات والترحاب,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,7,1,1,3,3,5,4,5,3,5,5,5,2,5,1,5,5.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,,الانتظار الطويل,لا شيء,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,8,1,1,3,2,1,2,5,5,3,5,5,5,5,2,5,5.0,2.0,2.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,2.0,,الانتظار الطويل,لا شي,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,8,3,1,4,4,4,4,4,4,4,4,4,5,4,5,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,10.0,,لا شيء,التعامل الجيد,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,الدقه والمرونة ومساعدة العملاء علي إنهاء معاملتهم,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,هيئة حكومية محترمة تحترم عملائنا,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,3,1,5,5,5,3,4,3,5,5,5,5,5,5,5,4.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,10.0,,لايوجد سوى مواقف السيارات بعيدة لحدا ما وغير متوفرة بكثرة او مزدحمة بعض الأحيان,المعاملة الجيدة,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,7,3,1,5,4,5,5,5,5,2,5,5,4,5,2,5,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,8.0,,لاشيء,المكان منظم ومرتب,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,7,1,1,3,3,3,2,3,3,3,3,4,4,4,3,5,5.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,7.0,,المبنى قديم ويحتاج ترميم او تغيير,الدقة,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,يتميز المركز بسهولة الإجراءات وسرعتها,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,7,3,1,4,5,4,4,4,4,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لا شيء,موظفين التوثيق والشهادات يساعدون التعامل جدا ويرحبون ويسعون الي انجاز معاملتهم,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,3,1,4,4,4,5,4,4,4,3,4,4,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,انها سريعة ومتجزة,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4.0,2,8,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,There is nothing annoying me absolutely,Iam very happy to make my marriage Contract here it is so easily and very fast,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,7,1,3,5,5,1,2,5,5,5,5,5,5,5,5,5,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,مواقف السيارات,تعامل الموظفات الراقي وسهولة الاستفسار والاجابة وخاصة الأستاذة منى الحمادى في قسم التصديق في كاتب العدل,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,8,1,3,5,5,5,4,4,4,4,5,4,4,4,4,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,أزور المكان كل فترة واسعد بالخدمة والتعاون والسرعة,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,7,1,1,5,5,5,2,5,4,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,10.0,,مواقف السيارات وايضا الرسوم عاليه بعض الشي,التعامل الجيد والسلس,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,7,1,1,5,5,5,1,5,5,5,4,5,5,5,4,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,9.0,,الرسوم ومواقف السيارات,موظفي التصديق بالعدلية جدا محترمين ومتعاونين,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,7,3,3,5,5,5,2,5,5,5,5,4,4,5,5,5,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,9.0,,فقط مواقف السيارات واتمنى هناك مظلات بسبب الانتظار لفترات طويلة بالمركز,كل الأقسام متعاونين للغاية,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,7,3,1,5,5,3,1,5,5,4,4,4,4,5,2,5,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,8.0,,الانتظار ومواقف السياراتوان يكون هناك مظلات للسيارات,المكان مريح ومساحة معقولة,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,7,3,1,5,5,5,5,5,5,5,5,5,1,5,1,5,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,8.0,,اتمنى تحديث وتكبير المكان وايضا مواقف السيارات تكون أقرب وبها مظلات,الموظفين متعاونين,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,7,1,1,3,3,5,3,5,5,2,4,4,4,4,2,4,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,,اولا تعقيد الإجراءات رغم تكرار المعاملة سنويا وفي كل مرة يطلبون نفس المستندات علي الرغم من توفرها علي النظام ثانيا عدم التركيز من قبل الموظفه وتركيبها علي هاتفها,لا شيء,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,7,3,1,5,5,5,2,4,5,4,5,5,4,4,4,4,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,9.0,,المكيفات شديدة علي المراجعين وازدحام مواقف السيارات,الضيافة,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,3,1,5,5,5,5,5,5,5,5,5,5,5,2,5,4.0,5.0,5.0,5.0,2.0,3.0,4.0,4.0,3.0,5.0,1.0,4.0,4.0,5.0,5.0,3.0,4.0,7.0,,مواقف السيارات مزدحمة والانتظار حيث أن هناك قاضي  واحد في المركز لكل الاقسام,تعامل الموظفين الجيد,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,7,3,1,4,4,4,2,4,4,4,4,4,4,5,1,5,5.0,5.0,5.0,5.0,1.0,3.0,3.0,4.0,4.0,5.0,1.0,4.0,5.0,4.0,5.0,3.0,3.0,7.0,,الانتظار وتعقيد بعض الطلبات والمستندات وعدم المرونة في ذلك وزيادة الرسوم للضعف,تعاون الموظفين والعمل علي انجاز معاملتنا,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,2,7,1,1,1,2,4,2,5,5,3,5,5,5,5,3,5,5.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,,عدم تحديث البيانات والمعلومات حيث كل مرة اتفاجى بأشياء جديدة غير معلنة سواء علي الموقع الإلكتروني او من خلال التواصل الاجتماعي او الرسائل  وغيرها وايضا يرجى وضع مظلات لمواقف السيارات كافة,لا شئ للأسف لان معاملتى لم تنجز وتم تحويلي لمكتب طباعه وهو إجراء جديد وغير متعارف عليا من قبلي,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,5.0,1,7,1,3,5,5,5,4,5,4,5,5,4,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,,لاشيء سواء ان المبنى قديم ويحتاج اني يكون مثل باقي الهيئات الحكومية المجددة بالامارة,التعامل الراقي وسرعة الانجاز,Q326_5
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,8,1,1,5,5,5,2,5,5,3,4,4,3,5,5,5,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,,ان يكون مكتب الطباعة له مكان داخل المركز تجنب للمسافات التي يقطعها المتعامل من مكتب الطباعة  والي المركز,التعامل الجيد,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,1,7,1,1,5,5,4,4,5,5,5,5,5,5,5,2,5,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,,الانتظار ومتطلبات كثيرة للحصول علي الشهادة,الاستقبال وطريقة التواصل جيدين,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,1,5,1,1,4,3,4,2,4,4,4,4,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,10.0,,.,.,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3.0,2,7,1,1,5,5,3,4,4,3,4,4,4,5,4,4,4,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,7.0,,يرجى توفير بعض الخدمات خاصه في قسم التركات بحيث تكون اون لاين للتسهيل على المتعامل,تعامل الموظفين,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2.0,2,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,كل شي جزاهم  الله خير,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1.0,1,7,3,1,4,3,5,3,4,3,4,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,تطلب أمر تغيير رقم الهاتف لمعامله معينه وقت طويل اكثر من اسبوع (معامله وكالة),التعامل بشكل عام,Q326_1
