TMP_AR,TMP_EN,CENTER,Q233,Q244,Q256,Q326,GENDER,ACADEMIC,NATIONALITY,SECTOR,Dim1.1,Dim1.2,Dim2.1,Dim2.2,Dim2.3,Dim3.1,Dim3.2,Dim3.3,Dim3.4,Dim3.5,Dim3.6,Dim3.7,Dim3.8,Dim4.1,Dim4.2,Dim4.3,Dim4.4,Dim4.5,Dim4.6,Dim4.7,Dim4.8,Dim4.9,Dim4.10,Dim4.11,Dim4.12,Dim5.1,Dim5.2,Dim5.3,Dim6.1,Dim6.2,NPS,Unnamed: 42,Most_Unsat,Most_Sat,SERVICE
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,9,,,,2,7,3,3,5,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,10,,لا شيء,جسن التعامل,Q233_9
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,7,,,,1,7,3,3,4,4,5,1,4,5,4,3,5,5,5,5,4,4,3,3,4,4,3,3,2,2,5,3,3,4,1,2,4,3,7,,لا يوجد,لطافة الموظفين,Q233_7
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,2,1,,,,2,5,1,1,5,5,5,3,3,3,4,5,5,5,4,5,4,4,4,4,3,4,4,4,4,4,4,4,5,4,3,4,4,4,3,,تجربو,تجربة,Q233_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1,1,7,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,,لا شيء,ان الكل متعاون بدون طلب ذلك وايضا السرعة والانجاز,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2,1,8,4,1,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,10,,لايوجد,كل شي سريع وخدمة ممتازة من قبل موظفي الاستقبال,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2,1,8,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,4,4,4,5,5,5,5,5,5,5,5,10,,لايوجد,اريد ان يكون هناك توثيق للشهادات في الفترة المسائية وذلك للتخفيف عل المتعامل,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2,1,8,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,,لايوجد,في كل سنة أزور المركز وآجد كل تقدم وسرعة وإنجاز في مجال توثيق الشهادات واتمنى عمل فكرة توصيل آوراق المعاملات  بالبيت  وذلك لغرض التوقيع لكبار السن,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2,1,8,1,1,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,10,,لا يوجد,كل شى مريح بالمكان سواء كراسي آو مكيفات وضيافة وحسن استقبال وسرعة في انجاز المعاملات,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2,1,8,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,,لايوجد,الإجراءات تتم بسهولة وسرعة وفقط بانتظار القاضي وهي المرحلة النهائية للمعاملات,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,10,,Nothing,Every thing is very good and they are helpful,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3,2,8,1,1,5,5,4,2,4,4,5,4,5,3,5,5,5,5,4,4,4,5,4,4,4,4,4,4,5,5,5,5,4,4,8,,أماكن السيارات بعيدة عن المركز وأخذت وقت في المشي للداخل في الطقس الحار,تعامل الموظفين وحسن استقبال,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2,1,7,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,10,,لايوجد,الابتسامة والتعاون,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3,2,7,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,,ان الإجراءات في عمل التوريث للوراثة صعب بعض الشي أيضا عدم الحصول علي مترجم لتوصيل المعلومة من التعامل للقاضي والعكس,ان هناك مساعدة وتعاون منقبلالموظفين,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,4,2,7,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,9,,انتظار المرحلة الأخيرة القاضي ياخد وقت أطول من المعاملة كلها,كل شي مريح كوجود جميع المرافق والموظفين ممتازين,Q326_4
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2,2,7,3,1,4,4,5,4,5,3,5,4,5,5,5,4,5,5,5,5,5,4,5,5,3,4,5,5,5,5,5,4,4,4,8,,لأول مرة الإجراءات يتم تغيرها في تجديد الإقامة الانسانيه حيث كانت في البداية تتم من خلال رسالة من مكان العمل لكن الآن بدون رساله ولابد من النظر والبت في المعاملة من قبل القاضي,التعاون من قبل الموظفين والرحمة من قبل القضاة,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,1,2,8,1,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,10,,لايوجد,الهدوء والسلسة والترحاب,Q326_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2,2,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,,لايوجد,التعاون والشاشة في التعامل,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2,1,8,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,,كل شي ممتاز,المعاملة الجيدة,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2,2,7,3,1,3,4,3,3,4,3,3,3,3,3,5,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,7,,الانتظار بعض الوقت,اللطف في التعاملات,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,3,2,8,1,1,5,5,5,3,5,3,3,3,3,3,3,2,4,3,4,4,4,4,4,3,4,3,5,5,5,4,4,4,4,3,5,,الانتظار الطويل,كل شي تمام والمعاملة جيدة,Q326_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,4,,,,2,2,5,3,1,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,9,,لايوجد,الخدمة متميزة,Q326_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,3,1,3,4,4,1,2,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,8,,Nothing much,Translator are the best part its easy to communicate,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,1,,1,7,3,1,5,4,3,5,5,4,5,5,5,5,3,4,5,5,5,5,5,5,4,4,4,4,5,3,3,4,4,4,4,4,8,,انتظار القاضي,حسن الاستقبال,Q256_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,4,3,1,4,4,2,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,,Nothing,Nothing to add,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,2,,1,7,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,,لاشء,سرعة الانجاز,Q256_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,7,4,3,4,4,4,2,4,3,5,4,5,4,4,4,5,5,4,5,5,4,4,3,4,4,5,4,4,4,4,3,4,4,8,,Parking space,On time work,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,7,3,3,5,4,3,5,5,4,5,4,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,4,5,4,4,3,4,4,8,,لاشئ,التفاعل السريع وإفاتى بالملاحظات,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,1,1,4,4,3,3,5,1,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,,استخدام بعض الموظفين للهاتف أثناء وقت العمل طلب توفير شفت مسائي بعض الموظفين اسلوبهم ليس لطيف,لاشي,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,,لاشي,الخدمات جيدة,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,2,,1,7,3,1,2,2,3,5,3,4,5,4,5,4,1,1,4,5,4,3,3,4,2,2,3,2,5,5,5,4,4,5,3,3,2,,بطي الإجراءات,حسن الاستقبال,Q256_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,1,1,4,4,4,2,5,3,4,3,4,4,5,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,8,,N,N,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8,,,1,5,4,1,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,,لاشي,احترام,Q244_8
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,1,,,1,7,3,3,4,4,5,4,4,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,10,,لاشي,السرعه في الاداء,Q244_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8,,,1,5,4,3,3,3,4,1,4,3,4,5,5,5,4,4,4,4,4,4,5,5,4,4,4,4,4,4,1,4,3,4,4,4,8,,_,استقبال الموظفه,Q244_8
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8,,,1,5,4,1,4,4,3,2,4,4,5,5,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4,3,5,4,4,4,5,5,10,,_,_,Q244_8
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,1,,,1,7,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,10,,_,تعامل الموظفه بلطف,Q244_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,1,,,1,7,4,2,5,5,5,4,5,4,5,4,5,5,3,5,5,5,5,5,5,5,5,4,4,5,5,3,4,5,5,4,5,4,10,,Nothing,Quick well. Responsible,Q244_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8,,,1,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,,_,تعامل الموظفه,Q244_8
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,1,,,1,7,3,3,4,4,5,2,5,3,5,5,5,5,3,5,5,5,5,5,5,5,3,4,5,5,5,4,5,5,5,5,5,5,9,,لا شي,تعامل الموظفين,Q244_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8,,,1,7,4,3,3,3,4,4,4,4,4,3,5,5,4,4,4,5,5,5,5,5,4,4,5,4,5,4,5,4,3,4,5,4,10,,Nothing,Saving time,Q244_8
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8,,,1,5,4,3,4,4,5,2,4,3,4,3,4,3,4,4,3,4,4,4,4,4,3,4,4,4,3,2,3,4,3,4,3,3,9,,Nothing,Saving time,Q244_8
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,1,,,1,7,3,3,2,2,4,4,4,4,5,5,5,4,4,5,3,5,5,5,5,5,2,4,3,4,4,4,4,4,4,4,5,5,9,,لا شي,التعامل اللطيف,Q244_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,11,,,1,5,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,2,3,4,4,4,3,3,8,,لا شي,تعامل الموظفين,Q244_11
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,2,,,1,7,1,2,5,5,5,5,5,5,5,5,5,2,3,2,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,10,,لا شي,تعامل الموظفين,Q244_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,11,,,1,5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,,Nothing,Procedure are easy,Q244_11
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,8,,,1,5,4,3,4,4,4,4,5,5,4,4,5,4,3,4,5,5,4,5,4,4,3,4,4,4,4,4,4,4,4,4,5,4,9,,Nothing,Service is very good,Q244_8
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,2,,,1,8,4,3,4,4,4,2,4,4,4,4,4,4,5,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,10,,Nothing,Quick response,Q244_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,11,,,1,5,1,3,3,3,3,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,2,3,4,3,4,4,4,4,4,4,8,,لاشي,سهوله الاجراء,Q244_11
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,1,,,1,7,4,3,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,,Nothing,Easy procedure,Q244_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,7,,,1,5,1,1,2,2,4,2,5,3,5,5,5,4,3,1,4,5,5,5,5,5,4,5,4,3,4,4,4,4,4,4,3,3,7,,عدم وجود مواقف و مده الانتظار,تعامل الموظفين,Q244_7
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,11,,,1,5,1,1,4,4,4,2,4,4,5,5,5,5,3,3,4,5,4,4,4,4,4,4,4,4,4,2,4,4,3,3,2,2,6,,لم تكتمل المعامله من شهر ?,لاشي,Q244_11
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,1,,1,,,1,7,4,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,,Nothings,Everything,Q244_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,2,5,1,1,1,2,5,2,5,1,2,2,3,3,4,4,3,3,2,2,1,2,3,2,2,2,3,2,1,2,2,3,1,1,7,,"عدم التواصل معي . مده الانتظار طويله. احتاج الدفع لرفع الحجز عن الحساب البنكي لكن لايوجد دفع كاش ولايوجد تعاون للمساعده ، عدم الجديه في التعامل  مع المتعامل خاصه اذا كان الموظف مواطن",لايوجد,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,2,7,1,1,2,2,3,1,4,3,3,2,4,3,4,3,3,3,2,2,2,3,3,3,2,2,4,3,4,3,3,3,2,2,7,,"الباركنات سيئه جدا غبر مناسبه كا منبى محكمه، كاونتر  15 غير واضح مكانه ، انشغال بعض الموظفين بالهاتف ، عدم توفر الموظف الشامل لمساعده عدد اكبر من المتعاملين، عدم إلمام  بعض الموظفين بمهامهمالموظف",لاشي,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,,الحكم غير منصف,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,1,1,5,5,1,1,5,3,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,3,4,4,3,9,,مع قله المراجعين هناك وقت للانتظار. انا من أصحاب الهمم لم اجد باركن داخلي  بعض الأحيان يوجد تأخير بالرد على الواتس,تعاملهم جيد,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,3,1,4,4,2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,1,1,4,4,4,4,4,10,,صعوبه الحصول على باركن  رسوم مقابله القاضي في كل مره عاليه يرحى النظر في الموضوع يرجى توفير وقت مسائي,لايوجد,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,1,,1,5,4,1,5,5,3,4,5,4,3,4,5,4,5,3,5,5,5,5,5,5,5,5,5,3,4,4,5,4,5,5,5,5,10,,Nothing,Nothing,Q256_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,4,1,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,5,4,4,3,4,3,3,4,4,4,10,,N,N,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,2,,1,8,3,1,4,4,4,5,3,4,3,4,4,4,5,4,4,3,3,3,3,3,4,3,3,3,4,1,3,3,4,4,2,3,0,,بعض الموظفين متعاونين والبعض غير لطيف بالتعامل,لم يتم توضيح الاجراء من قبل الموظفين لي في بدايه فتح القضيه ما تسبب بضرر لي,Q256_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,7,3,3,5,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,3,4,3,3,3,4,4,10,,N,N,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,4,1,4,4,5,3,4,4,5,5,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,3,3,4,4,4,5,4,9,,Nothing,Customer response,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,2,,1,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,,لايوجد,الخدمات متميزة,Q256_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,2,7,4,1,4,4,5,2,4,3,4,5,5,5,4,3,4,4,3,4,5,5,3,4,4,4,3,4,3,4,4,4,4,3,9,,N,N,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,1,,1,7,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,,N,N,Q256_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,2,,1,5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,,N,N,Q256_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,1,,1,7,3,3,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,10,,لا شي,سهولة وسرعة الإنجاز,Q256_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,4,1,4,4,4,4,4,4,4,3,5,5,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,10,,لايوجد,N,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,7,3,1,5,5,3,5,5,3,5,3,5,5,3,5,5,5,3,4,5,5,4,4,4,3,5,3,5,5,3,3,4,4,8,,لايوجد,سرعه الخدمه,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,3,1,3,4,5,4,5,3,4,4,4,4,5,5,4,4,4,4,4,3,4,4,4,4,4,2,2,4,4,3,4,4,8,,.,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,7,3,3,5,3,5,5,4,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,,بعض الأحيان لايوجد رد على الواتس,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,4,1,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,8,,لايوجد,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,7,3,1,5,4,4,4,3,4,4,5,5,5,3,4,3,4,4,4,4,3,3,3,4,3,4,4,4,3,3,3,4,4,7,,.,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,,لايوجد,سرعه الخدمه,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3,,1,5,1,1,4,4,4,4,4,3,3,3,3,1,4,1,3,4,3,3,3,3,3,2,1,2,4,3,3,3,2,4,2,2,5,,بعض الموظفين غير متمكنين ولا يملكون المعلومه او الكفائه الكافية . مده الانتظار طويله,لاشي,Q256_3
