TMP_AR,TMP_EN,CENTER,Q233,Q244,Q256,Q326,GENDER,ACADEMIC,NATIONALITY,SECTOR,Dim1.1,Dim1.2,Dim2.1,Dim2.2,Dim2.3,Dim3.1,Dim3.2,Dim3.3,Dim3.4,Dim3.5,Dim3.6,Dim3.7,Dim3.8,Dim4.1,Dim4.2,Dim4.3,Dim4.4,Dim4.5,Dim4.6,Dim4.7,Dim4.8,Dim4.9,Dim4.10,Dim4.11,Dim4.12,Dim5.1,Dim5.2,Dim5.3,Dim6.1,Dim6.2,NPS,Unnamed: 42,Most_Unsat,Most_Sat,SERVICE
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,2,7,4,1,4,4,5,2,4,3,4,5,5,5,4,3,4,4.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,9.0,,N,N,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,1.0,,1,7,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,N,N,Q256_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,2.0,,1,5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,,N,N,Q256_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,1.0,,1,7,3,3,5,5,5,5,5,4,5,5,5,5,5,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,10.0,,لا شي,سهولة وسرعة الإنجاز,Q256_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,1,4,4,4,4,4,4,4,3,5,5,4,4,4,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,N,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,3,1,5,5,3,5,5,3,5,3,5,5,3,5,5,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,8.0,,لايوجد,سرعه الخدمه,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,3,1,3,4,5,4,5,3,4,4,4,4,5,5,4,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,8.0,,.,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,3,3,5,3,5,5,4,3,4,4,4,4,5,5,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,,بعض الأحيان لايوجد رد على الواتس,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,1,4,4,4,2,4,3,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,8.0,,لايوجد,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,3,1,5,4,4,4,3,4,4,5,5,5,3,4,3,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,7.0,,.,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,سرعه الخدمه,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,1,1,4,4,4,4,4,3,3,3,3,1,4,1,3,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,5.0,,بعض الموظفين غير متمكنين ولا يملكون المعلومه او الكفائه الكافية . مده الانتظار طويله,لاشي,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,1,3,3,3,3,4,2,3,4,4,2,4,3,3,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,6.0,,مده الانتظار طويله,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,3,1,4,4,4,2,1,3,4,2,5,2,3,4,3,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,7.0,,لا شيء,اللباقة وحسن الاستماع,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,2.0,,2,5,3,3,4,4,5,3,4,4,4,4,4,4,4,4,4,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,,لا شي,خدمة المتعاملين,Q256_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,4,1,4,3,4,5,5,4,4,3,5,5,5,4,3,5.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,7.0,,Sending again again to the concern departments I already cleared,Got the support from the assisting support from the assigned staffs to meet the concern person,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,2,5,1,1,4,4,3,1,4,1,4,3,5,5,3,1,4,5.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,8.0,,لا شي,لا شي,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,3,1,4,4,4,4,4,2,4,4,4,4,3,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,,لاشي,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,3,4,4,4,4,4,3,4,4,4,3,4,4,3,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,8.0,,احيانا الانتظار مزعج.,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,,لاشي,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,2,7,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,,لاشي,تعامل الموظف,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,9.0,,Not applicable,Quick service,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,1,1,4,4,4,4,5,3,4,4,4,4,5,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,8.0,,.,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,9.0,,.,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,8.0,,.,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,2,7,3,3,5,5,5,4,5,5,5,5,5,5,5,5,5,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,,لايوجد,سرعه الانجاز,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,1.0,,1,7,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,,.,.,Q256_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,1.0,,1,5,4,1,5,5,5,3,5,5,5,5,5,5,5,3,5,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,10.0,,.,The environment smiles of staff,Q256_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,2,5,3,1,1,2,1,3,3,2,2,3,4,4,4,4,3,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,,عدم كفاءه  الموظفين في مساعده المتعامل . ليس لديهم معلومه صحيحه ليس لديهم كفاءة والمام بالقوانين والاجراءات . دفع رسوم لكل طلب تحري وطلب اعلان بالنشر،   لكل خدمه هناك طلبات تقدم مع رسوم. متابعه تسليم الإعلانات للمدعى عليه من قبلي ويفترض ان يكون هناك معرفه بمكان تواجده بعد تقديم الطلبات من قبلي . انشغال الموظف بغير شؤون المتعامل . عدم توضيح الخطوات التاليه التي يجب أن تؤخذ ، عدم معرفه سبب رفض القاضي لأرفاق إيصال في الطلبات دون توضيح السبب، عدم تسهيل الحصول على المعلومات عن المدعى عليه ، لايوجد تعاون بتاتا ، عدم الاستفاده من رفع القضايا الا استنزاف الفلوس والطاقه وعدم تحصيل الحقوق,ولا شي للأسف,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,3,3,5,4,5,5,5,5,5,4,5,5,5,4,3,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,7.0,,.,سهوله المعاملات,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,2.0,,1,5,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,8.0,,.,.,Q256_2
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,3,5,4,4,3,4,5,5,4,5,4,4,4,4,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,9.0,,يوجد دفع مبلغ خمسه في المئه في القضيه,تعاملهم جيد,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,,.,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,4,1,4,4,4,2,4,3,5,3,4,4,5,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,9.0,,الرسوم التي تطلب احيانا تتخطى المبلغ المطلوب من المدعى عليه,المعامله الجيدة,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,1,1,4,4,4,2,4,3,4,3,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,8.0,,لايوجد,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,2,5,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,10.0,,لايوجد,تعاملهم طيب,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,3,1,4,4,2,4,3,4,4,3,4,4,3,2,3,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,,الانتظار,معاملة جيدة,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,4,1,4,5,4,5,5,5,5,5,4,5,5,4,5,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,10.0,,No,Customer service,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,4,3,4,4,5,5,5,5,5,5,5,5,3,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,8.0,,.,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,1,1,4,2,1,5,5,5,2,3,3,5,5,1,5,4.0,3.0,2.0,2.0,4.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,5.0,2.0,3.0,2.0,3.0,5.0,,.,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,5,3,1,4,3,4,1,5,2,4,3,4,4,5,4,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,9.0,,لاشي,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,1.0,,2,7,4,3,4,5,5,5,5,2,5,4,5,5,4,4,5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,8.0,,.,.,Q256_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,3,3,4,4,4,4,4,3,4,3,4,4,5,5,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,8.0,,لايوجد,تعامل الموظف,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,10.0,,.,.,Q256_3
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,1.0,,2,7,3,1,5,5,2,2,5,3,5,3,4,4,4,4,4,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,,الباركنات جدا متعبه ... يرجى توفير شفت مسائي ،،، لوحه المعلومات غير واضح مكانها ،، كوابل الشحن الخاصه بالهواتف غير واضحه ايضا,التعاون و سرعه الخدمه من ?بل الخوظف,Q256_1
استبانة تجربة المتعامل _ 2025 - ميدان,Customer Experience Survey _ 2025 - Tablet,3,,,3.0,,1,7,3,3,4,4,4,4,3,5,5,4,5,4,5,5,4,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,10.0,,لاشي,جزيتم خيرا,Q256_3
